Task_name,Participant #,Runtime_mod,Movie_time,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Movie Task-lms,subject001,14,133.04402249999112,8.599999999999987,8.000000000000004,4.700000000000003,9.299999999999986,2.4000000000000012,2.0999999999999983,2.0000000000000044,5.3,8.500000000000002,2.5000000000000013,8.699999999999994,4.900000000000011,6.899999999999994,7.899999999999993,2.5000000000000084,3.7000000000000006,0,0,0
Movie Task-lms,subject001,14,116.21083870000439,7.30000000000001,8.199999999999989,3.9000000000000132,9.399999999999999,1.0999999999999985,8.49999999999999,4.30000000000001,3.900000000000001,7.799999999999991,3.3000000000000163,6.399999999999996,3.9999999999999987,3.1000000000000054,3.200000000000002,2.100000000000001,4.400000000000017,0,0,0
Movie Task-lms,subject001,14,129.44355490000453,7.000000000000011,4.100000000000001,2.2999999999999994,4.300000000000013,1.3999999999999986,8.49999999999999,4.900000000000011,7.1,7.500000000000002,7.500000000000005,2.800000000000016,3.7000000000000006,2.3000000000000047,6.699999999999994,5.700000000000008,2.600000000000005,0,0,0
Movie Task-lms,subject001,14,146.63476889999583,4.300000000000001,7.0,6.0000000000000036,7.500000000000009,3.5000000000000093,6.999999999999994,2.8000000000000123,3.100000000000016,8.900000000000004,4.100000000000003,3.3000000000000127,3.3999999999999995,2.900000000000009,9.899999999999984,3.6000000000000165,2.3999999999999986,0,0,0
Movie Task-lms,subject001,14,161.29701539999223,7.399999999999999,8.300000000000002,4.0,6.499999999999998,2.4999999999999973,7.0000000000000036,2.5999999999999996,3.8000000000000016,8.399999999999988,1.6999999999999993,5.700000000000015,3.5000000000000004,3.5999999999999996,6.499999999999997,2.8000000000000007,1.8999999999999984,0,0,0
Movie Task-lms,subject001,14,7.347309900011169,7.799999999999992,7.400000000000006,2.900000000000016,4.500000000000002,2.499999999999998,6.700000000000012,3.0000000000000018,3.200000000000001,8.49999999999999,2.700000000000005,3.8000000000000007,2.2000000000000046,2.9999999999999982,7.999999999999992,2.3999999999999972,2.0999999999999974,0,0,0
Movie Task-c4,subject001,6,153.79156810001587,5.900000000000004,5.800000000000008,2.300000000000001,8.199999999999989,2.5000000000000013,2.300000000000001,1.200000000000001,7.299999999999995,6.20000000000001,6.300000000000006,2.7000000000000157,4.20000000000001,2.599999999999998,6.299999999999997,7.399999999999992,3.099999999999999,0,0,0
Movie Task-c4,subject001,6,114.81112580001354,3.9000000000000026,7.69999999999999,2.2999999999999994,8.29999999999999,3.0000000000000053,2.900000000000016,2.0000000000000044,3.2999999999999985,7.299999999999994,1.5999999999999992,6.399999999999996,5.800000000000008,1.2999999999999985,7.999999999999992,2.499999999999998,2.500000000000012,0,0,0
Movie Task-c4,subject001,6,159.7174225000199,6.599999999999994,3.6000000000000165,2.4000000000000155,7.099999999999993,6.7999999999999945,4.300000000000013,2.0,4.700000000000003,7.099999999999995,5.000000000000014,6.099999999999999,2.899999999999998,2.4999999999999973,7.3000000000000025,3.7000000000000006,4.000000000000006,0,0,0
Movie Task-c4,subject001,6,158.3785050000006,6.099999999999997,2.0,3.0000000000000124,7.300000000000006,4.100000000000003,4.9,2.3000000000000003,6.30000000000001,4.8000000000000025,3.4000000000000004,3.5999999999999988,3.9000000000000097,1.9999999999999982,6.600000000000001,5.200000000000001,3.4000000000000012,0,0,0
Movie Task-c4,subject001,6,98.81335100001888,7.299999999999995,4.900000000000004,3.9000000000000017,7.599999999999994,3.3999999999999986,9.499999999999988,1.2000000000000153,2.700000000000012,8.399999999999991,4.000000000000013,6.800000000000001,6.9000000000000075,2.0000000000000044,4.300000000000017,2.0999999999999983,1.6999999999999993,0,0,0
Movie Task-c4,subject001,6,6.146714599977713,7.399999999999995,2.899999999999999,1.4000000000000117,7.799999999999991,1.6999999999999984,2.7000000000000015,8.400000000000002,3.0,8.500000000000002,2.9000000000000052,7.599999999999994,6.600000000000005,8.0,4.600000000000014,1.2999999999999985,5.000000000000002,0,0,0
Movie Task-summer,subject001,5,130.20645110000623,5.900000000000004,4.000000000000006,1.800000000000001,7.600000000000001,2.400000000000012,3.1999999999999993,2.1999999999999975,4.5000000000000036,7.800000000000008,3.6000000000000023,5.000000000000011,6.500000000000009,4.900000000000004,7.9000000000000075,6.6000000000000085,4.800000000000003,0,0,0
Movie Task-summer,subject001,5,143.00027489999775,9.499999999999984,9.199999999999992,1.5000000000000115,6.800000000000011,2.5000000000000155,7.799999999999997,2.100000000000008,2.1999999999999984,8.899999999999997,2.3999999999999986,8.900000000000004,3.0,1.9000000000000115,10.0,1.5999999999999992,2.800000000000016,0,0,0
Movie Task-summer,subject001,5,127.0201037999941,3.9999999999999987,9.200000000000003,2.3999999999999977,8.89999999999999,4.3000000000000025,3.6999999999999984,1.9999999999999973,2.3000000000000083,9.0,3.400000000000002,6.699999999999996,4.200000000000006,1.0,10.0,2.1999999999999975,2.0999999999999974,0,0,0
Movie Task-summer,subject001,5,113.28869380001561,3.5000000000000004,7.299999999999995,1.7999999999999994,7.500000000000002,7.999999999999993,2.5000000000000155,2.4999999999999987,3.3999999999999986,7.499999999999995,3.8000000000000025,6.7999999999999945,5.3,1.0,9.0,2.499999999999998,3.200000000000009,0,0,0
Movie Task-summer,subject001,5,144.75234209999326,8.200000000000006,6.799999999999996,3.3000000000000056,8.100000000000007,7.2999999999999945,2.300000000000001,5.200000000000017,3.200000000000009,9.499999999999998,2.2000000000000046,6.699999999999997,3.5000000000000058,2.1999999999999975,3.0000000000000018,3.3000000000000127,2.8000000000000087,0,0,0
Movie Task-summer,subject001,5,5.528680199990049,2.2000000000000153,7.799999999999994,1.100000000000008,7.499999999999994,3.7000000000000015,3.1000000000000054,2.3000000000000047,2.4000000000000155,8.29999999999999,9.0,8.79999999999999,7.0000000000000036,1.6999999999999975,2.700000000000005,2.1000000000000116,2.0999999999999974,0,0,0
Movie Task-c4,subject002,-13,195.7707950999902,1.6999999999999975,9.099999999999996,4.10000000000001,9.0,8.399999999999991,7.000000000000007,1.1000000000000045,1.7999999999999994,8.399999999999988,5.000000000000001,7.100000000000007,8.999999999999993,4.9000000000000075,3.4999999999999982,5.10000000000001,7.899999999999992,0,0,0
Movie Task-c4,subject002,-13,114.54186860000482,6.499999999999995,10.0,2.2000000000000153,8.400000000000006,8.999999999999986,10.0,1.0,5.800000000000004,10.0,5.000000000000003,8.69999999999999,9.099999999999993,10.0,8.600000000000005,10.0,5.0,0,0,0
Movie Task-c4,subject002,-13,99.09476579999318,1.0,9.500000000000002,1.9999999999999973,6.299999999999999,2.400000000000005,5.000000000000001,1.2000000000000002,2.0000000000000044,9.599999999999987,1.0,3.200000000000009,3.099999999999999,2.000000000000015,7.500000000000005,1.4,6.399999999999998,0,0,0
Movie Task-c4,subject002,-13,145.71638700000767,8.299999999999988,10.0,4.500000000000002,8.599999999999998,9.700000000000001,8.699999999999987,8.799999999999994,9.299999999999988,9.0,1.0,1.9,9.0,9.599999999999984,10.0,9.099999999999985,4.8000000000000105,0,0,0
Movie Task-c4,subject002,-13,99.86364630000025,9.0,7.599999999999993,1.9999999999999991,7.499999999999995,6.9999999999999964,6.199999999999997,9.500000000000002,9.0,8.699999999999994,7.0000000000000036,2.0999999999999974,6.7999999999999945,3.900000000000017,3.7000000000000166,10.0,9.0,0,0,0
Movie Task-c4,subject002,-13,7.368981400009943,1.9999999999999991,1.4000000000000152,2.700000000000005,9.699999999999987,1.500000000000008,1.2000000000000002,1.8999999999999992,1.0,1.5000000000000044,6.000000000000011,9.599999999999994,5.100000000000002,1.2000000000000002,2.799999999999998,3.500000000000013,6.799999999999996,0,0,0
Movie Task-summer,subject002,-14,148.9893091999984,1.0,5.500000000000002,1.0,1.900000000000015,5.0,6.0,1.4000000000000046,1.0,9.099999999999989,1.100000000000001,5.000000000000007,5.199999999999999,1.5999999999999974,7.0,1.1999999999999975,7.400000000000009,0,0,0
Movie Task-summer,subject002,-14,72.30790569999954,1.0,2.0,1.9999999999999973,4.200000000000006,7.400000000000006,6.0,2.0,1.0,9.199999999999989,1.3999999999999977,5.10000000000001,5.0000000000000036,1.3000000000000003,5.7,5.0,5.0,0,0,0
Movie Task-summer,subject002,-14,222.62752420001198,1.0,7.10000000000001,2.2999999999999976,8.000000000000004,7.10000000000001,4.0,6.599999999999995,1.0,10.0,2.8000000000000016,3.200000000000002,7.30000000000001,1.7999999999999985,8.200000000000006,5.0,6.699999999999995,0,0,0
Movie Task-summer,subject002,-14,67.57050699999672,1.0,8.000000000000007,2.2999999999999985,4.000000000000002,6.800000000000004,5.500000000000002,2.1000000000000045,1.0,10.0,3.1000000000000054,4.500000000000011,6.100000000000003,2.0,5.899999999999998,4.000000000000002,6.000000000000007,0,0,0
Movie Task-summer,subject002,-14,127.31710700000986,4.40000000000001,7.30000000000001,2.899999999999999,3.699999999999999,2.5999999999999996,6.700000000000001,2.5999999999999996,1.0,10.0,4.400000000000001,5.600000000000016,5.0,1.900000000000015,6.000000000000011,6.9000000000000075,6.30000000000001,0,0,0
Movie Task-summer,subject002,-14,7.263871400005883,1.0,4.400000000000001,2.8000000000000123,5.700000000000005,7.500000000000009,4.0,4.5,1.0,10.0,2.9,5.700000000000001,5.0,3.4000000000000057,4.200000000000001,5.3999999999999995,4.000000000000002,0,0,0
Movie Task-lms,subject002,-7,134.12689719999616,1.0,3.2999999999999994,2.3999999999999986,4.3999999999999995,4.600000000000002,6.400000000000002,1.8,1.9000000000000008,9.599999999999998,3.200000000000016,5.0,7.30000000000001,5.700000000000012,5.000000000000002,6.700000000000008,5.000000000000002,0,0,0
Movie Task-lms,subject002,-7,128.4694099999906,1.5000000000000115,4.700000000000001,2.5000000000000004,4.000000000000002,7.0,5.000000000000003,5.700000000000012,1.0,9.399999999999991,3.000000000000009,6.0,4.900000000000004,2.3,5.0,4.800000000000001,4.100000000000001,0,0,0
Movie Task-lms,subject002,-7,112.93950189999305,1.3000000000000083,7.0,5.900000000000011,8.0,7.500000000000005,4.400000000000001,4.700000000000003,2.0,10.0,3.100000000000016,4.800000000000002,3.0,2.899999999999999,5.0,6.0,5.100000000000003,0,0,0
Movie Task-lms,subject002,-7,235.45433610001055,2.0000000000000115,4.0,4.000000000000017,7.0,5.800000000000001,7.0,2.0,2.0,8.799999999999988,3.5000000000000058,4.40000000000001,4.200000000000006,2.6000000000000085,5.000000000000001,4.200000000000001,7.30000000000001,0,0,0
Movie Task-lms,subject002,-7,62.065577100001974,1.9000000000000008,5.000000000000002,3.899999999999999,5.100000000000002,6.9000000000000075,4.500000000000007,3.600000000000013,1.7000000000000046,9.199999999999992,2.3999999999999977,5.0,5.30000000000001,3.1999999999999984,5.0,4.0,4.200000000000003,0,0,0
Movie Task-lms,subject002,-7,4.7420014000090305,1.9000000000000044,4.200000000000002,4.400000000000014,7.700000000000008,7.000000000000011,6.100000000000007,2.699999999999999,1.6999999999999975,9.899999999999993,3.0999999999999983,5.0,4.0,3.200000000000001,6.000000000000011,3.8000000000000007,4.5000000000000036,0,0,0
Movie Task-summer,subject003,-6,149.17054339998867,4.100000000000001,6.900000000000011,5.0,6.599999999999994,2.8000000000000087,6.799999999999994,4.0,1.8000000000000045,7.499999999999995,1.4999999999999993,2.3999999999999995,4.500000000000018,4.5,9.0,1.9999999999999982,7.100000000000007,0,0,0
Movie Task-summer,subject003,-6,206.66361889999826,9.000000000000004,7.6000000000000085,4.20000000000001,2.799999999999999,9.0,7.699999999999992,3.500000000000013,1.5999999999999983,6.199999999999997,1.7999999999999994,3.0000000000000018,3.500000000000002,3.3000000000000163,10.0,2.0999999999999974,4.800000000000014,0,0,0
Movie Task-summer,subject003,-6,86.1840714000864,7.099999999999994,6.099999999999996,4.600000000000001,4.600000000000003,4.600000000000014,8.19999999999999,6.499999999999996,1.4999999999999976,5.899999999999998,2.1999999999999975,2.8000000000000016,2.2999999999999994,2.9000000000000123,8.699999999999987,6.500000000000005,6.399999999999998,0,0,0
Movie Task-summer,subject003,-6,72.19147270009853,3.2999999999999994,6.099999999999997,3.5999999999999988,3.0,2.9000000000000052,7.800000000000004,3.0,1.0,4.30000000000001,2.4000000000000083,2.0,2.7000000000000086,7.10000000000001,7.8999999999999915,8.200000000000003,3.900000000000001,0,0,0
Movie Task-summer,subject003,-6,174.33841099997517,7.200000000000003,7.500000000000009,6.499999999999995,4.200000000000017,7.300000000000006,7.199999999999994,6.899999999999993,1.9999999999999973,3.4999999999999987,2.1000000000000116,2.200000000000008,3.0,7.600000000000005,6.999999999999996,4.4,4.500000000000014,0,0,0
Movie Task-summer,subject003,-6,6.275705699925311,2.8000000000000007,3.9000000000000132,4.200000000000003,3.200000000000002,3.5000000000000164,3.0,3.700000000000013,2.0,3.6000000000000014,1.9000000000000008,2.300000000000012,2.6000000000000085,2.3000000000000047,6.9999999999999964,3.0000000000000053,3.600000000000013,0,0,0
Movie Task-lms,subject003,8,204.74780899996404,2.8000000000000016,8.700000000000005,4.400000000000001,2.6000000000000156,4.0,3.0,3.0,1.5999999999999992,4.000000000000017,2.0,4.0,6.500000000000002,7.399999999999993,7.100000000000003,2.5000000000000013,7.099999999999994,0,0,0
Movie Task-lms,subject003,8,97.91024649993051,6.699999999999996,7.599999999999992,7.800000000000008,3.5000000000000058,2.8000000000000123,7.6999999999999975,3.200000000000001,1.9000000000000115,7.299999999999992,3.500000000000002,3.900000000000017,7.800000000000008,3.1999999999999984,6.999999999999994,2.700000000000012,7.799999999999991,0,0,0
Movie Task-lms,subject003,8,83.2831823999295,7.300000000000006,4.0,7.0,3.200000000000016,3.3999999999999986,4.000000000000003,2.1999999999999984,2.0,4.3999999999999995,3.400000000000013,4.60000000000001,8.100000000000007,6.499999999999995,8.600000000000005,3.3000000000000056,6.899999999999997,0,0,0
Movie Task-lms,subject003,8,188.18304819997866,7.0,4.200000000000003,6.399999999999996,5.600000000000012,2.999999999999999,7.399999999999994,3.0,2.400000000000005,3.8000000000000167,2.5000000000000004,2.9999999999999982,7.20000000000001,6.500000000000005,7.800000000000008,2.400000000000012,7.200000000000006,0,0,0
Movie Task-lms,subject003,8,128.2350640000077,7.500000000000005,3.900000000000006,3.2,3.9000000000000026,4.0,7.100000000000007,5.100000000000014,2.2000000000000117,7.199999999999992,2.8000000000000123,3.5000000000000013,4.400000000000007,5.9999999999999964,8.200000000000006,2.6999999999999997,8.299999999999995,0,0,0
Movie Task-lms,subject003,8,3.9278859000187367,7.5999999999999925,4.0,2.0,3.000000000000016,3.200000000000016,3.600000000000006,3.0,2.3000000000000154,4.40000000000001,3.7000000000000095,2.3999999999999977,8.0,3.6000000000000023,8.0,2.7000000000000157,7.0,0,0,0
Movie Task-c4,subject003,-7,130.0385140000144,1.5999999999999992,2.1000000000000045,2.4999999999999987,2.100000000000001,4.000000000000013,2.300000000000001,2.6000000000000014,1.7000000000000117,2.7000000000000015,1.0999999999999976,2.0,1.6999999999999975,2.1000000000000116,7.100000000000007,2.1000000000000116,2.5000000000000155,0,0,0
Movie Task-c4,subject003,-7,144.28212490002625,3.0999999999999983,1.8000000000000045,3.0,2.799999999999998,1.0,2.0,2.600000000000012,1.2999999999999985,4.00000000000001,1.2999999999999985,2.4000000000000083,2.0,2.300000000000012,4.600000000000017,1.800000000000001,2.2000000000000153,0,0,0
Movie Task-c4,subject003,-7,128.25185270002112,7.700000000000008,4.100000000000007,6.500000000000005,2.1999999999999984,2.0,3.5000000000000058,2.400000000000005,2.400000000000005,5.000000000000007,2.800000000000005,3.700000000000006,2.499999999999998,3.9000000000000097,6.799999999999997,2.2000000000000153,6.199999999999998,0,0,0
Movie Task-c4,subject003,-7,112.68852259998675,7.399999999999992,2.0,3.8000000000000167,3.1000000000000054,2.699999999999999,3.0,3.0000000000000124,3.4999999999999987,2.0,2.200000000000001,3.0000000000000124,2.7000000000000086,3.200000000000001,6.799999999999997,3.000000000000016,6.200000000000003,0,0,0
Movie Task-c4,subject003,-7,142.8128013999667,1.9999999999999982,2.700000000000005,3.799999999999999,2.9000000000000052,2.499999999999998,2.0,3.600000000000006,1.9999999999999982,1.8999999999999992,3.1000000000000054,1.7999999999999985,3.000000000000016,4.000000000000013,6.299999999999999,2.3999999999999986,2.9999999999999982,0,0,0
Movie Task-c4,subject003,-7,4.305031500058249,3.0,2.900000000000016,7.0,1.5999999999999992,4.400000000000002,6.0,2.200000000000001,1.9000000000000008,7.0,2.400000000000005,3.5000000000000058,7.6000000000000085,3.3000000000000056,6.199999999999999,2.599999999999998,6.599999999999996,0,0,0
Movie Task-lms,subject004,-10,108.07736200000001,1,1.6,1,6.8,6.7,5.7,1,1,1,1,2,2.3,1,5.9,1,2.6,0,0,0
Movie Task-lms,subject004,-10,188.36632389999997,1.6,3.6,4.6,6.2,5.9,6.2,6,1,1,1,2.4,4.1,1,4.1,1,5.3,0,0,0
Movie Task-lms,subject004,-10,157.80833430000007,1,4.1,7.3,1,5.6,6,5.9,1,1,1,1,1,1,7.1,1,6.1,0,0,0
Movie Task-lms,subject004,-10,128.2506538,1,1.8,1,3.3,7,2.5,1,1,1.1,1,1,2.7,1,5.2,1,2.1,0,0,0
Movie Task-lms,subject004,-10,113.70603660000006,1,2.2,1,8,5.7,5,1,1.2,1,1,6.3,1,1,5.3,1,6.6,0,0,0
Movie Task-lms,subject004,-10,4.7202290000000175,1,1,1.1,5.3,6,1,1.2,1,1,1,1,1,1,4.7,1,5.9,0,0,0
Movie Task-c4,subject004,-9,195.44801599999982,1,1,1,6.2,6,6.3,1,1,1.9,1,1,2.7,1,4.1,1,1,0,0,0
Movie Task-c4,subject004,-9,158.42514800000004,1,5.3,1,5,5.6,1,2,1,1,1,1,3.3,1,4.4,1,6.8,0,0,0
Movie Task-c4,subject004,-9,112.838933,1,1,1.3,6,1,6.2,2.3,1,1,1,1,2.1,1,4.5,1,4.1,0,0,0
Movie Task-c4,subject004,-9,133.82219600000008,1,5.8,2.7,1,2.3,6.5,5,1,1,1,1,2.1,1,3.7,1,1.5,0,0,0
Movie Task-c4,subject004,-9,131.52000299999986,1,3.4,2.1,3,1,1,1,4.1,1,1,2.5,1,1,2.5,1,4,0,0,0
Movie Task-c4,subject004,-9,5.908036999999695,1,5.5,5.1,7.1,6.2,1,2.3,1,1,1,5.6,1,1,2.3,1,3,0,0,0
Movie Task-summer,subject005,-8,151.15883420000318,3.000000000000001,9.799999999999994,2.4000000000000083,3.2999999999999994,7.0999999999999925,7.600000000000001,3.699999999999999,3.1999999999999993,2.2999999999999985,4.4,7.399999999999999,4.900000000000011,4.7000000000000135,8.0,4.30000000000001,7.199999999999994,0,0,0
Movie Task-summer,subject005,-8,121.19552079995628,7.799999999999997,10.0,3.4000000000000163,7.599999999999998,7.30000000000001,8.49999999999999,2.100000000000008,4.400000000000007,3.800000000000006,3.799999999999999,9.699999999999998,7.5999999999999925,10.0,10.0,8.39999999999999,9.299999999999992,0,0,0
