METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
839187,14,4,12,018
Time after setup,32.24821049999446
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,68.08963249996305
Movie Task Start,68.08966579986736,,,,Movie Task,1,14,,,
Movie Init,82.13752799993381,,,,Movie Task,1,14,,,
Movie Start,82.15893069980666,,,,Movie Task,1,14,,c4.mp4,
ESQ,196.6957032000646,,Past_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,207.2365999999456,,Past_response,6.999999999999993,Movie Task,1,14,,Marker Started at 5,Movie Task-c4
ESQ,207.23832889972255,,Future_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,219.73017570003867,,Future_response,7.099999999999994,Movie Task,1,14,,Marker Started at 3,Movie Task-c4
ESQ,219.73183909989893,,Sounds_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,228.53751470008865,,Sounds_response,9.000000000000004,Movie Task,1,14,,Marker Started at 10,Movie Task-c4
ESQ,228.53921509999782,,Self_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,233.02404749998823,,Self_response,8.399999999999995,Movie Task,1,14,,Marker Started at 7,Movie Task-c4
ESQ,233.02559540001675,,Images_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,236.11027719965205,,Images_response,10.0,Movie Task,1,14,,Marker Started at 10,Movie Task-c4
ESQ,236.11198389995843,,Detailed_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,240.53019909979776,,Detailed_response,5.599999999999999,Movie Task,1,14,,Marker Started at 4,Movie Task-c4
ESQ,240.53078999975696,,Absorption_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,245.01768959965557,,Absorption_response,7.3000000000000025,Movie Task,1,14,,Marker Started at 8,Movie Task-c4
ESQ,245.01940409978852,,Deliberate_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,251.90655329963192,,Deliberate_response,4.400000000000002,Movie Task,1,14,,Marker Started at 2,Movie Task-c4
ESQ,251.90828079963103,,Problem_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,256.7271559997462,,Problem_response,6.199999999999996,Movie Task,1,14,,Marker Started at 5,Movie Task-c4
ESQ,256.7288559996523,,Other_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,261.1469552000053,,Other_response,7.199999999999994,Movie Task,1,14,,Marker Started at 3,Movie Task-c4
ESQ,261.14856550004333,,Focus_start,,Movie Task,1,14,,,Movie Task-c4
ESQ,264.40013669990003,,Focus_response,5.899999999999998,Movie Task,1,14,,Marker Started at 4,Movie Task-c4
ESQ,264.40172549989074,,Knowledge_start,,Movie Task,1,14,,,Movie Task-c4
