METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
1755705,14,3,6,040
Time after setup,19.625316600024235
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Movie Task
Start Time,43.181823100021575
ESQ,200.80204470001627,,Images_response,2.0,Movie Task,1,14,,Marker Started at 2,Movie Task-lms
ESQ,207.55752720002783,,Emotion_response,4.0,Movie Task,1,14,,Marker Started at 4,Movie Task-lms
ESQ,211.6772040000069,,Deliberate_response,8.0,Movie Task,1,14,,Marker Started at 8,Movie Task-lms
ESQ,217.1817885999917,,Focus_response,2.0,Movie Task,1,14,,Marker Started at 2,Movie Task-lms
ESQ,220.65153930004453,,Problem_response,6.0,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,232.6272538000485,,Knowledge_response,8.0,Movie Task,1,14,,Marker Started at 8,Movie Task-lms
ESQ,241.76714260003064,,Intrusive_response,5.000000000000014,Movie Task,1,14,,Marker Started at 9,Movie Task-lms
ESQ,246.40510060003726,,Sounds_response,6.899999999999997,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,251.42504510004073,,Absorption_response,10.0,Movie Task,1,14,,Marker Started at 2,Movie Task-lms
ESQ,254.99460810003802,,Distracting_response,1.0,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,261.9840162000037,,Self_response,8.500000000000002,Movie Task,1,14,,Marker Started at 9,Movie Task-lms
ESQ,265.1371374000446,,Future_response,3.0,Movie Task,1,14,,Marker Started at 3,Movie Task-lms
ESQ,268.59141900000395,,Other_response,10.0,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,271.7930542000104,,Words_response,6.299999999999995,Movie Task,1,14,,Marker Started at 5,Movie Task-lms
ESQ,274.043415800028,,Detailed_response,7.0,Movie Task,1,14,,Marker Started at 7,Movie Task-lms
ESQ,277.32912020001095,,Past_response,10.0,Movie Task,1,14,,Marker Started at 7,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,277.34675860003335,,,,,,,,,
ESQ,395.75676380004734,,Knowledge_response,8.399999999999988,Movie Task,1,14,,Marker Started at 4,Movie Task-lms
ESQ,401.76107000000775,,Problem_response,4.500000000000002,Movie Task,1,14,,Marker Started at 2,Movie Task-lms
ESQ,405.9309027999989,,Intrusive_response,4.000000000000003,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,409.884126799996,,Sounds_response,1.0,Movie Task,1,14,,Marker Started at 2,Movie Task-lms
