METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
9409934,2,1,0,04
Time after setup,10.661555400001816
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Movie Task
Start Time,18.61762600002112
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,30.663817699998617,,,,,,,,,
ESQ,34.02979980001692,,Other_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,35.42989990004571,,Focus_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test1
ESQ,36.82919940003194,,Images_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test1
ESQ,38.21172620001016,,Absorption_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test1
ESQ,39.618248800048605,,Distracting_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,41.08071780001046,,Knowledge_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test1
ESQ,42.247316399996635,,Self_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,43.680131100001745,,Deliberate_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,45.11334810004337,,Future_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test1
ESQ,46.52948200004175,,Detailed_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,47.930219700036105,,Emotion_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test1
ESQ,49.24707300000591,,Problem_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test1
ESQ,51.72964650002541,,Past_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test1
ESQ,53.147103400027845,,Words_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test1
ESQ,54.59754770004656,,Intrusive_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,57.197030000039376,,Sounds_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,61.6670156000182,,,,,,,,,
ESQ,64.08224750001682,,Sounds_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,65.49874780001119,,Other_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,67.24934680003207,,Words_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test1
ESQ,68.699101300037,,Self_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test1
