METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
9409934,2,1,0,04
Time after setup,10.66152449999936
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,18.61758830002509
Movie Task Start,18.61772999999812,,,,Movie Task,1,2,,,
Movie Init,23.27426670002751,,,,Movie Task,1,2,,,
Movie Start,23.29722100001527,,,,Movie Task,1,2,,test1.mp4,
ESQ,32.29478630004451,,Other_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,34.02979980001692,,Other_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,34.032635600015055,,Focus_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,35.42989990004571,,Focus_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test1
ESQ,35.431855600036215,,Images_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,36.82919940003194,,Images_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test1
ESQ,36.8303886000067,,Absorption_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,38.21172620001016,,Absorption_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test1
ESQ,38.213136600039434,,Distracting_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,39.618248800048605,,Distracting_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,39.62006060004933,,Knowledge_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,41.08071780001046,,Knowledge_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test1
ESQ,41.08342040004209,,Self_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,42.247316399996635,,Self_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,42.24949890002608,,Deliberate_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,43.680131100001745,,Deliberate_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,43.68269300000975,,Future_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,45.11334810004337,,Future_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test1
ESQ,45.11751270003151,,Detailed_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,46.52948200004175,,Detailed_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test1
ESQ,46.53225809999276,,Emotion_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,47.930219700036105,,Emotion_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test1
ESQ,47.932939300022554,,Problem_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,49.24707300000591,,Problem_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test1
ESQ,49.2493875999935,,Past_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,51.72964650002541,,Past_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test1
ESQ,51.73300250002649,,Words_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,53.147103400027845,,Words_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test1
ESQ,53.15084870002465,,Intrusive_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,54.59754770004656,,Intrusive_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,54.59979030000977,,Sounds_start,,Movie Task,1,2,,,Movie Task-test1
