METADATA:
Experiment Seed,Subject
7174657,17
Time after setup,7.283226899802685
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Movie Task
Start Time,18.542283299844712
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,89.07201419980265,,,,,,,,,
ESQ,93.80345389991999,,Detailed_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,94.87104929983616,,Focus_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,101.7388780999463,,Problem_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,103.15508299996145,,Intrusive_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,104.58915779995732,,Absorption_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,106.12248829985037,,Other_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,107.5553510999307,,Deliberate_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,108.9551618997939,,Emotion_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,110.38884169980884,,Words_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run1
ESQ,111.78892649989575,,Knowledge_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,113.17184929992072,,Sounds_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,114.57276189979166,,Past_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,115.97252379986458,,Distracting_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,117.4062211997807,,Self_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,118.8888596999459,,Images_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,120.67274949979037,,Future_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run1
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,265.6199767999351,,,,,,,,,
ESQ,270.8029820998199,,Problem_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run1
ESQ,275.019827199867,,Deliberate_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,277.13645009999163,,Knowledge_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
