METADATA:
Experiment Seed,Subject
7174657,17
Time after setup,7.2832065999973565
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,18.54224399989471
Movie Task Start,18.542342899832875,,,,Movie Task,ignore,17,,,
Movie Init,22.58267209981568,,,,Movie Task,ignore,17,,,
Movie Start,22.587348399916664,,,,Movie Task,ignore,17,,run1.mp4,
ESQ,92.0007176999934,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,93.80345389991999,,Detailed_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,93.80581809999421,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,94.87104929983616,,Focus_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,94.87339429999702,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,101.7388780999463,,Problem_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,101.7423227999825,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,103.15508299996145,,Intrusive_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,103.15808429988101,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,104.58915779995732,,Absorption_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,104.59176509990357,,Other_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,106.12248829985037,,Other_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,106.12480629980564,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,107.5553510999307,,Deliberate_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,107.55843189987354,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,108.9551618997939,,Emotion_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
