METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
4338774,2,3,11,Enter ID Here
Time after setup,21.627476299996488
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,7
EXPERIMENT DATA:,Movie Task
Start Time,41.29770749999443
ESQ,150.66791550000198,,Sounds_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,152.35071249998873,,Deliberate_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,153.78464359999634,,Distracting_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,155.21783429998322,,Future_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,156.71815189998597,,Emotion_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,158.2516105999821,,Words_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,160.16863040000317,,Detailed_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,162.11915799998678,,Past_response,7.900000000000004,Movie Task,1,2,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,164.43548159999773,,Self_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,166.38500939999358,,Knowledge_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,168.01870909999707,,Intrusive_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,169.7362108999805,,Images_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,171.36898599998676,,Focus_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-audio_en_run1_withpics_914
ESQ,172.86916919998475,,Other_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,174.23680369998328,,Problem_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,177.0524707000004,,Absorption_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,177.0757059000025,,,,,,,,,
ESQ,302.81378319999203,,Intrusive_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,304.4299117999908,,Distracting_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,305.84735890000593,,Absorption_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,307.28200589999324,,Images_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,308.6306450999982,,Knowledge_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
