METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
4338774,2,3,11,Enter ID Here
Time after setup,21.627463799988618
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,41.29769139998825
Movie Task Start,41.297741199989105,,,,Movie Task,1,2,,,
Movie Init,47.77163919998566,,,,Movie Task,1,2,,,
Movie Start,47.78393439998035,,,,Movie Task,1,2,,audio_en_run1_withpics_914.mp4,
ESQ,147.95671470000525,,Sounds_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,150.66791550000198,,Sounds_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,150.6701011999976,,Deliberate_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,152.35071249998873,,Deliberate_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,152.35319449999952,,Distracting_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,153.78464359999634,,Distracting_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,153.78787609998835,,Future_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,155.21783429998322,,Future_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,155.2202408000012,,Emotion_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,156.71815189998597,,Emotion_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,156.7198192999931,,Words_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,158.2516105999821,,Words_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,158.2534056000004,,Detailed_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,160.16863040000317,,Detailed_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,160.17019279999658,,Past_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,162.11915799998678,,Past_response,7.900000000000004,Movie Task,1,2,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,162.1214295999962,,Self_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,164.43548159999773,,Self_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,164.4375325999863,,Knowledge_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
ESQ,166.38500939999358,,Knowledge_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,166.38789469999028,,Intrusive_start,,Movie Task,1,2,,,Movie Task-audio_en_run1_withpics_914
