METADATA:
Experiment Seed,Subject
7888931,Enter Name Here
Time after setup,2.1446581999771297
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,14.248644900042564
Movie Task Start,14.248747200006619,,,,Movie Task,1,Enter Name Here,,,
Movie Init,14.718188700033352,,,,Movie Task,1,Enter Name Here,,,
Movie Start,14.735907300026156,,,,Movie Task,1,Enter Name Here,,summer.mp4,
ESQ,97.3559918999672,,Sounds_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,98.85282709996682,,Sounds_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-summer
ESQ,98.85612759995274,,Focus_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,100.00284450000618,,Focus_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-summer
ESQ,100.00727239996195,,Self_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,101.13623629999347,,Self_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-summer
ESQ,101.14010089996736,,Images_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,102.18508109997492,,Images_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-summer
ESQ,102.18876889999956,,Intrusive_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,103.6696740000043,,Intrusive_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-summer
ESQ,103.6720868999837,,Knowledge_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,104.83535730000585,,Knowledge_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-summer
ESQ,104.83988089999184,,Emotion_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,105.8681725000497,,Emotion_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-summer
ESQ,105.87089010002092,,Past_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,107.10228480002843,,Past_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-summer
ESQ,107.10474189999513,,Words_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,108.28649029997177,,Words_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-summer
ESQ,108.28880970005412,,Problem_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,109.35218149994034,,Problem_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-summer
ESQ,109.35379079997074,,Distracting_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,110.50125710002612,,Distracting_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-summer
ESQ,110.50347929995041,,Absorption_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,111.71895679994486,,Absorption_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-summer
ESQ,111.72118879994377,,Future_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,112.90321160003077,,Future_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-summer
ESQ,112.90486230002716,,Detailed_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,115.11882179998793,,Detailed_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-summer
ESQ,115.1207354000071,,Deliberate_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,116.56918400002178,,Deliberate_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-summer
ESQ,116.57149879995268,,Other_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,118.43598429998383,,Other_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-summer
Movie prompt 1 summer.mp4,118.46764259994961,,,,Movie Task,1,Enter Name Here,,0,
ESQ,362.60776299994905,,Future_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,364.1978574000532,,Future_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-summer
ESQ,364.20031949994154,,Intrusive_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,365.2476502000354,,Intrusive_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-summer
ESQ,365.2501332999673,,Distracting_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,366.4134703000309,,Distracting_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-summer
ESQ,366.4152645999566,,Images_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,367.54909290000796,,Images_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-summer
ESQ,367.55164239997976,,Detailed_start,,Movie Task,1,Enter Name Here,,,Movie Task-summer
ESQ,368.68074380001053,,Detailed_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-summer
