METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
8409828,4,6,5,Subject019
Time after setup,26.48941479998757
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,6
EXPERIMENT DATA:,Movie Task
Start Time,42.482665399991674
ESQ,250.19107179998537,,Absorption_response,5.5,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,265.23590679999324,,Distracting_response,4.600000000000003,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,274.3938546999998,,Focus_response,1.0,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,279.8148486999853,,Words_response,1.0,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,285.08579789998475,,Emotion_response,7.9,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,289.2223407999845,,Detailed_response,1.0,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,292.86008589999983,,Past_response,1.0,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,296.8950351999956,,Other_response,1.0,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,302.983347899979,,Future_response,6.099999999999998,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,308.52126689997385,,Problem_response,1.0,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,313.3906733999902,,Deliberate_response,9.0,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,320.41326059997664,,Knowledge_response,1.0,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,326.5348169999779,,Intrusive_response,6.000000000000011,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,329.8718977999815,,Self_response,10.0,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,334.8933821999817,,Sounds_response,1.0,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,338.31068359999335,,Images_response,1.0,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,338.3289807999972,,,,,,,,,
ESQ,498.03923929997836,,Emotion_response,9.0,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,511.7336738999875,,Knowledge_response,5.100000000000001,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,516.4542917999788,,Distracting_response,1.0,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,521.7071957000007,,Words_response,5.6,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,526.3281953999831,,Self_response,4.800000000000014,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,529.314596399985,,Past_response,1.0,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,532.7830818999792,,Focus_response,6.199999999999999,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,536.3367409999773,,Absorption_response,1.0,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,540.0891819999961,,Images_response,1.0,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,544.225881499995,,Intrusive_response,7.799999999999993,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,547.5953040999884,,Future_response,1.0,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,550.0153529999952,,Sounds_response,1.0,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,552.1654523999896,,Problem_response,1.0,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,553.1994205999945,,Other_response,3.0,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,558.0699998999771,,Deliberate_response,1.0,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,561.4233860999811,,Detailed_response,1.0,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,561.4397007999942,,,,,,,,,
ESQ,676.2300090999925,,Self_response,1.0,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,679.9502588999749,,Past_response,1.0,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,683.2189604000014,,Words_response,1.0,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,685.287661099981,,Emotion_response,1.0,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,692.9439814999932,,Knowledge_response,7.5999999999999925,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,695.9966120999889,,Detailed_response,8.59999999999999,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,699.4831088999927,,Problem_response,7.399999999999993,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,703.1191182999755,,Distracting_response,1.0,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,705.4373719999858,,Future_response,8.399999999999988,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,708.6392414000002,,Sounds_response,1.0,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,712.1590481999738,,Deliberate_response,8.899999999999997,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,714.745076399995,,Absorption_response,1.0,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,717.7791755999788,,Intrusive_response,1.0,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,720.616391699994,,Images_response,1.0,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,723.4690420999832,,Focus_response,1.0,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,726.2052828999877,,Other_response,6.400000000000009,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,726.2214150999789,,,,,,,,,
ESQ,858.4928795000014,,Distracting_response,1.0,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,862.0631732999755,,Past_response,1.0,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,866.0827136999869,,Deliberate_response,5.000000000000014,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,868.9011187999859,,Self_response,1.0,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,872.2193369999877,,Sounds_response,1.0,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,877.0397694999992,,Emotion_response,5.2,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,880.7945070999849,,Intrusive_response,1.0,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,884.8642179000017,,Detailed_response,5.200000000000006,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,888.6998569999996,,Images_response,3.4999999999999987,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,892.5033599000017,,Absorption_response,1.0,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,895.7226752999995,,Other_response,1.0,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
