METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
6602031,0,0,1,Subject050,,,,,,
Time after setup,29.5895552,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,87.1243018,,,,,,,,,
Movie Task Start,87.1243382,,,,Movie Task,1,0,,,
Movie Init,126.2543193,,,,Movie Task,1,0,,,
Movie Start,126.2620278,,,,Movie Task,1,0,,c4.mp4,
ESQ,208.8346112,,Detailed_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,237.2253112,,Detailed_response,6.6,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,237.2260396,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,259.5596166,,Intrusive_response,1,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,259.5603166,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,264.5154157,,Words_response,10,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,264.5159248,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,271.6360404,,Problem_response,1,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,271.636809,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,276.4053852,,Self_response,1,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,276.4060916,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,303.3612222,,Past_response,1,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,303.362092,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,312.7020668,,Future_response,7.8,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,312.7027698,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,318.4902521,,Emotion_response,8,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,318.4910206,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,323.9270717,,Other_response,10,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,323.9278352,,Images_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,332.9163052,,Images_response,4,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,332.9168122,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,338.6395391,,Absorption_response,1,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,338.6402477,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,347.0628169,,Sounds_response,8.5,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,347.0632973,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,353.6163333,,Knowledge_response,1,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,353.616802,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,365.0603237,,Focus_response,10,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,365.0610099,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,376.6853309,,Distracting_response,1,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,376.6859991,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,383.7599533,,Deliberate_response,10,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
Movie prompt 1 c4.mp4,383.7758511,,,,Movie Task,1,0,,0,
ESQ,544.6647399,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,569.7908804,,Self_response,7,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,569.7917792,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,581.4153447,,Future_response,1,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,581.415996,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,585.9197696,,Distracting_response,1,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,585.9204477,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,589.8558358,,Past_response,10,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,589.8566285,,Other_start,,Movie Task,1,0,,,Movie Task-c4
