METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
5116580,14,12,11,Subject093
Time after setup,29.140997800044715
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,67.94634890020825
Movie Task Start,67.94638430001214,,,,Movie Task,1,14,,,
Movie Init,89.44444550015032,,,,Movie Task,1,14,,,
Movie Start,89.4520914000459,,,,Movie Task,1,14,,lms.mp4,
ESQ,280.8143554001581,,Deliberate_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,302.7116162001621,,Deliberate_response,6.499999999999996,Movie Task,1,14,,Marker Started at 4,Movie Task-lms
ESQ,302.71286780014634,,Knowledge_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,316.4711750000715,,Knowledge_response,8.999999999999996,Movie Task,1,14,,Marker Started at 8,Movie Task-lms
ESQ,316.4722522001248,,Past_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,331.09998210007325,,Past_response,5.000000000000001,Movie Task,1,14,,Marker Started at 4,Movie Task-lms
ESQ,331.10144060011953,,Self_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,354.20097260014154,,Self_response,2.0,Movie Task,1,14,,Marker Started at 3,Movie Task-lms
ESQ,354.2022184000816,,Focus_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,360.6234601000324,,Focus_response,1.0,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,360.625004200032,,Detailed_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,365.82661500014365,,Detailed_response,7.9999999999999964,Movie Task,1,14,,Marker Started at 7,Movie Task-lms
ESQ,365.82710730005056,,Other_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,377.0026160001289,,Other_response,9.500000000000002,Movie Task,1,14,,Marker Started at 7,Movie Task-lms
ESQ,377.00395740009844,,Problem_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,391.9478545000311,,Problem_response,1.500000000000008,Movie Task,1,14,,Marker Started at 8,Movie Task-lms
ESQ,391.94963520020247,,Sounds_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,421.7548066000454,,Sounds_response,1.8999999999999992,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,421.7559212001506,,Images_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,422.9210583001841,,Images_response,6.0,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,422.9222963000648,,Absorption_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,448.47583950008266,,Absorption_response,7.599999999999994,Movie Task,1,14,,Marker Started at 6,Movie Task-lms
ESQ,448.4770539000165,,Distracting_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,458.7342081000097,,Distracting_response,1.0,Movie Task,1,14,,Marker Started at 4,Movie Task-lms
ESQ,458.73536840011366,,Intrusive_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,462.8707924000919,,Intrusive_response,1.0,Movie Task,1,14,,Marker Started at 7,Movie Task-lms
ESQ,462.8721399002243,,Words_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,471.4958540000953,,Words_response,2.0999999999999983,Movie Task,1,14,,Marker Started at 4,Movie Task-lms
ESQ,471.49730120017193,,Future_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,491.30951790022664,,Future_response,3.399999999999998,Movie Task,1,14,,Marker Started at 5,Movie Task-lms
ESQ,491.31018400005996,,Emotion_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,512.2927741000894,,Emotion_response,5.2000000000000135,Movie Task,1,14,,Marker Started at 9,Movie Task-lms
Movie prompt 1 lms.mp4,512.3102599000558,,,,Movie Task,1,14,,0,
ESQ,563.4113207000773,,Past_start,,Movie Task,1,14,,,Movie Task-lms
ESQ,570.6557066000532,,Past_response,1.0,Movie Task,1,14,,Marker Started at 10,Movie Task-lms
