METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
8811683,0,10,0,participant067
Time after setup,19.94599819998257
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,44.77622610004619
Movie Task Start,44.77626600000076,,,,Movie Task,1,0,,,
Movie Init,72.40167429996654,,,,Movie Task,1,0,,,
Movie Start,72.41344110004138,,,,Movie Task,1,0,,c4.mp4,
ESQ,160.5714641000377,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,169.1267224000767,,Past_response,3.400000000000002,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,169.12823809997644,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,175.36411990004126,,Absorption_response,8.0,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,175.36516549997032,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,181.20063620002475,,Sounds_response,6.4999999999999964,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,181.201909000054,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,189.67497980000917,,Knowledge_response,5.699999999999998,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,189.67650150007103,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,194.64546200004406,,Focus_response,9.0,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,194.6467439000262,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,199.18277549999766,,Distracting_response,10.0,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,199.1839344999753,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,203.20290859998204,,Words_response,5.600000000000005,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,203.20465620001778,,Detailed_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,207.27261350001208,,Detailed_response,2.5999999999999974,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,207.27304170001298,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,211.95984430005774,,Deliberate_response,2.400000000000012,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,211.96111819997896,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,216.32989409996662,,Self_response,8.000000000000007,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,216.33044569997583,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,219.79883049998898,,Intrusive_response,3.8000000000000007,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,219.80038470006548,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,227.82379390008282,,Problem_response,2.500000000000005,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,227.82506719999947,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,232.62483490002342,,Emotion_response,6.3000000000000025,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,232.62614970002323,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,236.44706879998557,,Other_response,8.799999999999988,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,236.44768079998903,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,240.09782899997663,,Future_response,7.3999999999999915,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,240.09933320002165,,Images_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,244.00175230007153,,Images_response,6.899999999999993,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
Movie prompt 1 c4.mp4,244.01873120001983,,,,Movie Task,1,0,,0,
ESQ,401.9221203000052,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,406.6159257000545,,Intrusive_response,3.1000000000000125,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,406.6172026999993,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,410.5357379000634,,Words_response,2.100000000000008,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,410.53727089997847,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,414.1553039000137,,Sounds_response,6.600000000000005,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,414.1561804000521,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,418.39018560003024,,Absorption_response,3.3000000000000127,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,418.39141300006304,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,421.7430185000412,,Future_response,2.0999999999999974,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
