METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
3162845,4,8,16,subject004,,,,,,
Time after setup,21.089397,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,26.3196928,,,,,,,,,
ESQ,134.3970548,,Self_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
ESQ,138.4660283,,Deliberate_response,2,Movie Task,1,4,,Marker Started at 2,Movie Task-lms
ESQ,143.4369966,,Absorption_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
ESQ,147.7892192,,Focus_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-lms
ESQ,152.2420389,,Problem_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-lms
ESQ,158.1140801,,Detailed_response,2.3,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,162.7511337,,Images_response,5.7,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,167.9050747,,Knowledge_response,2.6,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,171.8410799,,Words_response,6.8,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
ESQ,177.0959958,,Distracting_response,1,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,180.9489911,,Sounds_response,6.7,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
ESQ,185.1850608,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 10,Movie Task-lms
ESQ,189.2389708,,Future_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,195.9940927,,Past_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
ESQ,200.7320622,,Other_response,1.6,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,206.8029659,,Emotion_response,5.9,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,206.820456,,,,,,,,,
ESQ,395.1867799,,Detailed_response,4.1,Movie Task,1,4,,Marker Started at 3,Movie Task-lms
ESQ,399.7729671,,Emotion_response,4.1,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,405.4448521,,Deliberate_response,2.4,Movie Task,1,4,,Marker Started at 10,Movie Task-lms
ESQ,412.7688444,,Problem_response,4.6,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,416.4358618,,Focus_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
ESQ,421.2729348,,Future_response,1,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,425.2439482,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-lms
ESQ,430.0979265,,Sounds_response,5.9,Movie Task,1,4,,Marker Started at 10,Movie Task-lms
ESQ,436.8358531,,Absorption_response,1.6,Movie Task,1,4,,Marker Started at 9,Movie Task-lms
ESQ,442.2898872,,Other_response,3.6,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
ESQ,446.3438356,,Words_response,6.2,Movie Task,1,4,,Marker Started at 2,Movie Task-lms
ESQ,448.8289639,,Self_response,1,Movie Task,1,4,,Marker Started at 2,Movie Task-lms
ESQ,452.5319297,,Images_response,6.2,Movie Task,1,4,,Marker Started at 2,Movie Task-lms
ESQ,457.0348385,,Past_response,6,Movie Task,1,4,,Marker Started at 9,Movie Task-lms
ESQ,462.1248639,,Knowledge_response,5.3,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
