METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
6106160,8,3,12,subject010 
Time after setup,36.2476949999982
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,49.15684490001877
Movie Task Start,49.15689830001793,,,,Movie Task,1,8,,,
Movie Init,63.30378970000311,,,,Movie Task,1,8,,,
Movie Start,63.31130060000578,,,,Movie Task,1,8,,summer.mp4,
ESQ,253.24972180000623,,Absorption_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,262.41665329999523,,Absorption_response,2.999999999999999,Movie Task,1,8,,Marker Started at 4,Movie Task-summer
ESQ,262.41859690001,,Knowledge_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,277.89533090000623,,Knowledge_response,10.0,Movie Task,1,8,,Marker Started at 2,Movie Task-summer
ESQ,277.8960519999964,,Past_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,282.215606200014,,Past_response,8.0,Movie Task,1,8,,Marker Started at 8,Movie Task-summer
ESQ,282.21624310000334,,Self_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,289.8885455999989,,Self_response,8.899999999999988,Movie Task,1,8,,Marker Started at 3,Movie Task-summer
ESQ,289.8904607000004,,Problem_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,298.66385720000835,,Problem_response,8.59999999999999,Movie Task,1,8,,Marker Started at 2,Movie Task-summer
ESQ,298.66576560001704,,Emotion_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,303.21505450000404,,Emotion_response,3.4999999999999987,Movie Task,1,8,,Marker Started at 5,Movie Task-summer
ESQ,303.2169645999966,,Other_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,306.91839189999155,,Other_response,8.69999999999999,Movie Task,1,8,,Marker Started at 6,Movie Task-summer
ESQ,306.918834000011,,Focus_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,314.27499340000213,,Focus_response,4.400000000000002,Movie Task,1,8,,Marker Started at 2,Movie Task-summer
ESQ,314.2767437000002,,Future_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,318.8797975000052,,Future_response,8.699999999999989,Movie Task,1,8,,Marker Started at 2,Movie Task-summer
ESQ,318.88177880001604,,Deliberate_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,323.8818167000136,,Deliberate_response,1.8000000000000045,Movie Task,1,8,,Marker Started at 7,Movie Task-summer
ESQ,323.88414579999517,,Images_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,330.5536922000174,,Images_response,4.800000000000018,Movie Task,1,8,,Marker Started at 10,Movie Task-summer
ESQ,330.5541788999981,,Distracting_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,334.4570447000151,,Distracting_response,2.0,Movie Task,1,8,,Marker Started at 2,Movie Task-summer
ESQ,334.458973300003,,Intrusive_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,338.3766805000196,,Intrusive_response,7.0,Movie Task,1,8,,Marker Started at 7,Movie Task-summer
ESQ,338.37868470000103,,Detailed_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,344.8485830000136,,Detailed_response,6.400000000000013,Movie Task,1,8,,Marker Started at 10,Movie Task-summer
ESQ,344.8504707000102,,Sounds_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,350.5029809999978,,Sounds_response,3.100000000000002,Movie Task,1,8,,Marker Started at 6,Movie Task-summer
ESQ,350.5048046000011,,Words_start,,Movie Task,1,8,,,Movie Task-summer
ESQ,353.50479639999685,,Words_response,10.0,Movie Task,1,8,,Marker Started at 10,Movie Task-summer
