METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
5445670,0,11,10,subject026
Time after setup,37.81145999999717
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,52.02104219998
Movie Task Start,52.02107819999219,,,,Movie Task,1,0,,,
Movie Init,73.31088899998576,,,,Movie Task,1,0,,,
Movie Start,73.33032479998656,,,,Movie Task,1,0,,c4.mp4,
ESQ,160.2963168999995,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,181.35401569999522,,Other_response,2.499999999999998,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,181.3557468999934,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,188.210319899983,,Deliberate_response,6.999999999999993,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,188.21198699998786,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,199.8183205999958,,Words_response,5.100000000000002,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,199.8187837000005,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,207.5248674999748,,Focus_response,3.699999999999999,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,207.52531420000014,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,211.17752259998815,,Intrusive_response,2.2999999999999994,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,211.17800200000056,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,218.35037359999842,,Self_response,1.0,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,218.35084069997538,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,226.47352669999236,,Absorption_response,3.600000000000001,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,226.47399269999005,,Images_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,233.7792621999979,,Images_response,1.5,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,233.78089589998126,,Detailed_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,239.4506054999947,,Detailed_response,4.100000000000007,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,239.45121879997896,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,246.38940980000189,,Sounds_response,6.400000000000013,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,246.3910637999943,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,255.8130494999932,,Problem_response,2.9000000000000052,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,255.81482529998175,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,263.42011919998913,,Distracting_response,6.000000000000014,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,263.42177629997605,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,268.857025299978,,Knowledge_response,1.0,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,268.8576795999834,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,273.67798929999117,,Future_response,1.9999999999999982,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,273.67908689999604,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,283.11865689998376,,Emotion_response,5.1000000000000005,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,283.119249499985,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,289.8729588999995,,Past_response,1.0,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
Movie prompt 1 c4.mp4,289.8914104999858,,,,Movie Task,1,0,,0,
ESQ,448.8295500999957,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,459.80948470000294,,Self_response,3.900000000000001,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,459.8112579000008,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,466.0814405999845,,Sounds_response,1.0,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,466.0833405999874,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,474.8888110999833,,Problem_response,2.400000000000012,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,474.8904777999851,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,483.44484849998844,,Focus_response,2.000000000000001,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,483.4465628999751,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,498.973792499979,,Other_response,5.700000000000001,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,498.97433679999085,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,505.47900549997576,,Words_response,5.000000000000011,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,505.48066499998095,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,515.1877464999852,,Emotion_response,5.000000000000018,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,515.1893210999842,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,522.075408899982,,Deliberate_response,5.3,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,522.076644899993,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,529.2483923999825,,Knowledge_response,2.2999999999999994,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,529.2491278999951,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
