METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
7634097,6,2,2,subject055
Time after setup,42.59633990004659
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,8
EXPERIMENT DATA:,Movie Task
Start Time,59.43546059995424
ESQ,194.45363819994964,,Absorption_response,6.700000000000005,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,209.35039629996754,,Emotion_response,9.100000000000003,Movie Task,1,6,,Marker Started at 10,Movie Task-lms
ESQ,220.9588272999972,,Focus_response,4.3000000000000025,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,231.23250509996433,,Detailed_response,8.999999999999988,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
ESQ,237.60342449997552,,Knowledge_response,10.0,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,246.0611603000434,,Sounds_response,2.499999999999998,Movie Task,1,6,,Marker Started at 5,Movie Task-lms
ESQ,259.20356519997586,,Problem_response,5.20000000000001,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,265.69354350003414,,Images_response,7.500000000000005,Movie Task,1,6,,Marker Started at 9,Movie Task-lms
ESQ,272.31536680005956,,Intrusive_response,2.1,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
ESQ,276.73451720003504,,Other_response,7.9999999999999964,Movie Task,1,6,,Marker Started at 7,Movie Task-lms
ESQ,285.2436495999573,,Deliberate_response,5.300000000000017,Movie Task,1,6,,Marker Started at 10,Movie Task-lms
ESQ,289.59553709998727,,Words_response,10.0,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,294.88362500001676,,Distracting_response,6.700000000000012,Movie Task,1,6,,Marker Started at 10,Movie Task-lms
ESQ,300.5382031999761,,Past_response,6.399999999999998,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
ESQ,305.40841699996963,,Future_response,6.600000000000005,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,310.4291797999758,,Self_response,8.09999999999999,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,310.44639489997644,,,,,,,,,
ESQ,429.18971589999273,,Sounds_response,7.000000000000007,Movie Task,1,6,,Marker Started at 9,Movie Task-lms
ESQ,434.3471945000347,,Deliberate_response,7.499999999999992,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
ESQ,441.23339639999904,,Problem_response,4.2000000000000135,Movie Task,1,6,,Marker Started at 9,Movie Task-lms
ESQ,448.4223982000258,,Self_response,6.499999999999998,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,453.9613894999493,,Future_response,6.699999999999996,Movie Task,1,6,,Marker Started at 3,Movie Task-lms
ESQ,457.7966654000338,,Words_response,10.0,Movie Task,1,6,,Marker Started at 5,Movie Task-lms
ESQ,465.5194455999881,,Absorption_response,2.800000000000016,Movie Task,1,6,,Marker Started at 10,Movie Task-lms
ESQ,469.6556898000417,,Images_response,5.300000000000001,Movie Task,1,6,,Marker Started at 3,Movie Task-lms
ESQ,476.01121929998044,,Distracting_response,2.500000000000012,Movie Task,1,6,,Marker Started at 9,Movie Task-lms
ESQ,481.1813031999627,,Intrusive_response,3.5000000000000093,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,486.30250989994965,,Focus_response,2.1000000000000045,Movie Task,1,6,,Marker Started at 7,Movie Task-lms
ESQ,491.7083270000294,,Other_response,5.6000000000000005,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
ESQ,500.11378510005306,,Knowledge_response,6.10000000000001,Movie Task,1,6,,Marker Started at 9,Movie Task-lms
ESQ,506.95253520004917,,Emotion_response,2.600000000000005,Movie Task,1,6,,Marker Started at 7,Movie Task-lms
ESQ,511.3226309999591,,Detailed_response,5.500000000000009,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,515.2592616999755,,Past_response,6.099999999999997,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,515.2760159999598,,,,,,,,,
ESQ,647.1475912999595,,Future_response,2.800000000000005,Movie Task,1,6,,Marker Started at 7,Movie Task-lms
ESQ,651.4177867999533,,Focus_response,6.900000000000004,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,657.9061048000585,,Distracting_response,8.099999999999993,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,664.3112645000219,,Self_response,7.699999999999991,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
ESQ,668.5310370000079,,Past_response,4.800000000000002,Movie Task,1,6,,Marker Started at 3,Movie Task-lms
ESQ,675.2868953000288,,Emotion_response,8.69999999999999,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,680.423907999997,,Other_response,4.5,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
ESQ,684.8776906999992,,Images_response,4.3000000000000025,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,689.7316052999813,,Absorption_response,7.499999999999991,Movie Task,1,6,,Marker Started at 5,Movie Task-lms
ESQ,695.753795400029,,Knowledge_response,5.400000000000001,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
ESQ,699.7387739999685,,Intrusive_response,3.799999999999999,Movie Task,1,6,,Marker Started at 5,Movie Task-lms
ESQ,703.9937196000246,,Problem_response,7.699999999999994,Movie Task,1,6,,Marker Started at 6,Movie Task-lms
ESQ,710.5815602999646,,Sounds_response,4.600000000000017,Movie Task,1,6,,Marker Started at 10,Movie Task-lms
ESQ,714.4336629000027,,Words_response,10.0,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
ESQ,718.2880720000248,,Detailed_response,5.0,Movie Task,1,6,,Marker Started at 5,Movie Task-lms
ESQ,722.0731089999899,,Deliberate_response,6.399999999999995,Movie Task,1,6,,Marker Started at 5,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,722.1078948000213,,,,,,,,,
ESQ,866.5894261000212,,Self_response,4.700000000000003,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
ESQ,871.3597018000437,,Sounds_response,5.100000000000001,Movie Task,1,6,,Marker Started at 3,Movie Task-lms
ESQ,877.0637646999676,,Focus_response,3.6000000000000094,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
ESQ,881.0681474000448,,Images_response,4.100000000000007,Movie Task,1,6,,Marker Started at 7,Movie Task-lms
ESQ,883.3693761000177,,Words_response,10.0,Movie Task,1,6,,Marker Started at 9,Movie Task-lms
ESQ,886.4383129000198,,Intrusive_response,3.8000000000000016,Movie Task,1,6,,Marker Started at 2,Movie Task-lms
ESQ,890.7093646000139,,Detailed_response,3.100000000000016,Movie Task,1,6,,Marker Started at 10,Movie Task-lms
ESQ,896.0790300000226,,Other_response,2.1999999999999984,Movie Task,1,6,,Marker Started at 4,Movie Task-lms
ESQ,899.9658119999804,,Future_response,2.3000000000000083,Movie Task,1,6,,Marker Started at 8,Movie Task-lms
