METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
6045536,1,1,1,testin2
Time after setup,18.44377540005371
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,12
EXPERIMENT DATA:,Movie Task
Start Time,23.90575149981305
ESQ,213.3111262000166,,Absorption_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,214.36147979972884,,Images_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,215.49443379975855,,Distracting_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,216.61144150001928,,Knowledge_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,217.66243040002882,,Intrusive_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,218.81146409967914,,Problem_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,219.92711579985917,,Words_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,221.02904389984906,,Emotion_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,222.1950812996365,,Self_response,10.0,Movie Task,1,1,,Marker Started at 10,Movie Task-audio_en_run1_withpics_914
ESQ,223.31203019991517,,Deliberate_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,224.4940871996805,,Detailed_response,6.0,Movie Task,1,1,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,225.81107629975304,,Focus_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,226.94404720002785,,Sounds_response,5.0,Movie Task,1,1,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,228.33002369990572,,Future_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,229.49608279997483,,Other_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,231.01326229982078,,Past_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,231.02817559987307,,,,,,,,,
ESQ,356.0409836997278,,Problem_response,6.0,Movie Task,1,1,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,357.4564191997051,,Future_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,359.45737909991294,,Detailed_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,360.63992709992453,,Words_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,362.0899044997059,,Distracting_response,8.0,Movie Task,1,1,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,363.50694029964507,,Images_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,364.9564642999321,,Other_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,366.65845469990745,,Self_response,10.0,Movie Task,1,1,,Marker Started at 10,Movie Task-audio_en_run1_withpics_914
