METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
6045536,1,1,1,testin2
Time after setup,18.44374560005963
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,23.90573239978403
Movie Task Start,23.905791599769145,,,,Movie Task,1,1,,,
Movie Init,25.944266099948436,,,,Movie Task,1,1,,,
Movie Start,25.95214889990166,,,,Movie Task,1,1,,audio_en_run1_withpics_914.mp4,
ESQ,208.7745044999756,,Absorption_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,213.3111262000166,,Absorption_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,213.31209230003878,,Images_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,214.36147979972884,,Images_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,214.363071099855,,Distracting_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,215.49443379975855,,Distracting_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,215.49549379991367,,Knowledge_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,216.61144150001928,,Knowledge_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,216.6126987999305,,Intrusive_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,217.66243040002882,,Intrusive_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,217.66334659978747,,Problem_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,218.81146409967914,,Problem_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,218.81270519969985,,Words_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,219.92711579985917,,Words_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,219.92859470006078,,Emotion_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,221.02904389984906,,Emotion_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,221.03065579989925,,Self_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,222.1950812996365,,Self_response,10.0,Movie Task,1,1,,Marker Started at 10,Movie Task-audio_en_run1_withpics_914
ESQ,222.19732820009813,,Deliberate_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,223.31203019991517,,Deliberate_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,223.31332270009443,,Detailed_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,224.4940871996805,,Detailed_response,6.0,Movie Task,1,1,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,224.4953076997772,,Focus_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,225.81107629975304,,Focus_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,225.8123764996417,,Sounds_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,226.94404720002785,,Sounds_response,5.0,Movie Task,1,1,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,226.94500109972432,,Future_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,228.33002369990572,,Future_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,228.33105049980804,,Other_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,229.49608279997483,,Other_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,229.49698079982772,,Past_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,231.01326229982078,,Past_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
Movie prompt 1 audio_en_run1_withpics_914.mp4,231.02821369981393,,,,Movie Task,1,1,,0,
ESQ,354.2339969999157,,Problem_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,356.0409836997278,,Problem_response,6.0,Movie Task,1,1,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
ESQ,356.0420304997824,,Future_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,357.4564191997051,,Future_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,357.4581045997329,,Detailed_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,359.45737909991294,,Detailed_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,359.45840359991416,,Words_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,360.63992709992453,,Words_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,360.64110939996317,,Distracting_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,362.0899044997059,,Distracting_response,8.0,Movie Task,1,1,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,362.0914465999231,,Images_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,363.50694029964507,,Images_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,363.5082356999628,,Other_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,364.9564642999321,,Other_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,364.9577421997674,,Self_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,366.65845469990745,,Self_response,10.0,Movie Task,1,1,,Marker Started at 10,Movie Task-audio_en_run1_withpics_914
ESQ,366.65965660009533,,Sounds_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,368.04096779972315,,Sounds_response,5.0,Movie Task,1,1,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,368.04179889988154,,Absorption_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,369.3249673997052,,Absorption_response,10.0,Movie Task,1,1,,Marker Started at 10,Movie Task-audio_en_run1_withpics_914
ESQ,369.32668530009687,,Deliberate_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,371.375020599924,,Deliberate_response,4.0,Movie Task,1,1,,Marker Started at 4,Movie Task-audio_en_run1_withpics_914
ESQ,371.37602069973946,,Past_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,372.8060117997229,,Past_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,372.8072387999855,,Intrusive_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,374.3570588999428,,Intrusive_response,8.0,Movie Task,1,1,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,374.35813059983775,,Emotion_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,375.9754506996833,,Emotion_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,375.9772989996709,,Focus_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,377.20943779964,,Focus_response,5.0,Movie Task,1,1,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,377.210542100016,,Knowledge_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,378.3919581999071,,Knowledge_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
Movie prompt 2 audio_en_run1_withpics_914.mp4,378.4255013996735,,,,Movie Task,1,1,,0,
ESQ,487.98954600002617,,Future_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,489.70018179994076,,Future_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,489.70136469975114,,Other_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,490.9511833996512,,Other_response,5.0,Movie Task,1,1,,Marker Started at 5,Movie Task-audio_en_run1_withpics_914
ESQ,490.952806300018,,Self_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,492.38515440002084,,Self_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,492.3867333000526,,Distracting_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,493.9022145997733,,Distracting_response,8.0,Movie Task,1,1,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,493.9043288999237,,Deliberate_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,495.0351915997453,,Deliberate_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,495.0391449998133,,Intrusive_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,497.56915759993717,,Intrusive_response,2.0,Movie Task,1,1,,Marker Started at 2,Movie Task-audio_en_run1_withpics_914
ESQ,497.5702607999556,,Detailed_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,499.12013510009274,,Detailed_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,499.12111459998414,,Absorption_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,500.5531639996916,,Absorption_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,500.55460939975455,,Focus_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,501.7011996996589,,Focus_response,3.0,Movie Task,1,1,,Marker Started at 3,Movie Task-audio_en_run1_withpics_914
ESQ,501.70321050006896,,Words_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,502.81915250001475,,Words_response,9.0,Movie Task,1,1,,Marker Started at 9,Movie Task-audio_en_run1_withpics_914
ESQ,502.8207074999809,,Problem_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,504.801696700044,,Problem_response,8.0,Movie Task,1,1,,Marker Started at 8,Movie Task-audio_en_run1_withpics_914
ESQ,504.8027566000819,,Images_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,506.2525574997999,,Images_response,7.0,Movie Task,1,1,,Marker Started at 7,Movie Task-audio_en_run1_withpics_914
ESQ,506.25347999995574,,Emotion_start,,Movie Task,1,1,,,Movie Task-audio_en_run1_withpics_914
ESQ,507.35352759994566,,Emotion_response,6.0,Movie Task,1,1,,Marker Started at 6,Movie Task-audio_en_run1_withpics_914
