participant_number,Clip 1,Clip 2,Clip 3
001,2,1,0
002,5,4,3
003,0,3,1
004,1,0,5
005,3,2,4
006,4,5,2
007,2,1,0
008,4,5,2
009,3,2,4
010,5,4,3
011,0,3,1
012,1,0,5
013,2,1,0
014,1,0,5
015,4,5,2
016,5,4,3
017,0,3,1
018,3,2,4
019,2,1,0
020,0,3,1
021,3,2,4
022,4,5,2
023,5,4,3
024,1,0,5
025,2,1,0
026,3,2,4
027,5,4,3
028,0,3,1
029,4,5,2
030,1,0,5
031,5,4,3
032,2,1,0
033,1,0,5
034,4,5,2
035,3,2,4
036,0,3,1
037,0,3,1
038,5,4,3
039,4,5,2
040,2,1,0
041,3,2,4
042,1,0,5
043,3,2,4
044,4,5,2
045,2,1,0
046,1,0,5
047,5,4,3
048,0,3,1
049,0,3,1
050,1,0,5
051,4,5,2
052,3,2,4
053,5,4,3
054,2,1,0
055,1,0,5
056,0,3,1
057,2,1,0
058,5,4,3
059,4,5,2
060,3,2,4
061,1,0,5
062,0,3,1
063,2,1,0
064,3,2,4
065,5,4,3
066,4,5,2
067,2,1,0
068,3,2,4
069,5,4,3
070,1,0,5
071,0,3,1
072,4,5,2
073,2,1,0
074,4,5,2
075,3,2,4
076,5,4,3
077,0,3,1
078,1,0,5
079,1,0,5
080,3,2,4
081,0,3,1
082,2,1,0
083,5,4,3
084,4,5,2
085,0,3,1
086,3,2,4
087,2,1,0
088,4,5,2
089,5,4,3
090,1,0,5
091,4,5,2
092,2,1,0
093,0,3,1
094,3,2,4
095,1,0,5
096,5,4,3
097,5,4,3
098,1,0,5
099,2,1,0
100,4,5,2
101,0,3,1
102,3,2,4
103,5,4,3
104,1,0,5
105,4,5,2
106,3,2,4
107,2,1,0
108,0,3,1
109,4,5,2
110,3,2,4
111,1,0,5
112,0,3,1
113,5,4,3
114,2,1,0
115,2,1,0
116,3,2,4
117,4,5,2
118,1,0,5
119,5,4,3
120,0,3,1
